fecha;unidades
16/09/2014;1189
17/09/2014;1371
18/09/2014;1409
19/09/2014;1475
20/09/2014;440
21/09/2014;4
22/09/2014;874
23/09/2014;1322
24/09/2014;1523
25/09/2014;1564
26/09/2014;1636
27/09/2014;487
28/09/2014;4
29/09/2014;968
30/09/2014;1467
01/10/2014;976
02/10/2014;1002
03/10/2014;1050
04/10/2014;313
05/10/2014;3
06/10/2014;621
07/10/2014;942
08/10/2014;1085
09/10/2014;1114
10/10/2014;1166
11/10/2014;347
12/10/2014;3
13/10/2014;690
14/10/2014;1046
15/10/2014;1205
16/10/2014;1238
17/10/2014;1294
18/10/2014;386
19/10/2014;4
20/10/2014;767
21/10/2014;1162
22/10/2014;1341
23/10/2014;1378
24/10/2014;1442
25/10/2014;429
26/10/2014;4
27/10/2014;853
28/10/2014;1293
29/10/2014;1491
30/10/2014;1533
31/10/2014;1605
01/11/2014;301
02/11/2014;3
03/11/2014;598
04/11/2014;906
05/11/2014;1043
06/11/2014;1071
07/11/2014;1121
08/11/2014;334
09/11/2014;3
10/11/2014;663
11/11/2014;1005
12/11/2014;1158
13/11/2014;1189
14/11/2014;1243
15/11/2014;370
16/11/2014;3
17/11/2014;735
18/11/2014;1114
19/11/2014;1283
20/11/2014;1319
21/11/2014;1381
22/11/2014;412
23/11/2014;4
24/11/2014;819
25/11/2014;1239
26/11/2014;1427
27/11/2014;1466
28/11/2014;1535
29/11/2014;456
30/11/2014;4
01/12/2014;763
02/12/2014;1152
03/12/2014;1324
04/12/2014;1361
05/12/2014;1425
06/12/2014;424
07/12/2014;4
08/12/2014;843
09/12/2014;1277
10/12/2014;1467
11/12/2014;1503
12/12/2014;1569
13/12/2014;468
14/12/2014;4
15/12/2014;930
16/12/2014;1409
17/12/2014;1620
18/12/2014;1669
19/12/2014;1757
20/12/2014;525
21/12/2014;5
22/12/2014;1043
23/12/2014;1579
24/12/2014;1816
25/12/2014;1865
26/12/2014;1953
27/12/2014;582
28/12/2014;5
29/12/2014;1156
30/12/2014;1749
31/12/2014;2013
01/01/2015;735
02/01/2015;770
03/01/2015;230
04/01/2015;2
05/01/2015;456
06/01/2015;690
07/01/2015;793
08/01/2015;815
09/01/2015;856
10/01/2015;255
11/01/2015;2
12/01/2015;507
13/01/2015;768
14/01/2015;882
15/01/2015;907
16/01/2015;952
17/01/2015;284
18/01/2015;3
19/01/2015;565
20/01/2015;856
21/01/2015;987
22/01/2015;1015
23/01/2015;1062
24/01/2015;316
25/01/2015;3
26/01/2015;628
27/01/2015;952
28/01/2015;1097
29/01/2015;1129
30/01/2015;1179
31/01/2015;350
01/02/2015;3
02/02/2015;564
03/02/2015;857
04/02/2015;989
05/02/2015;1016
06/02/2015;1064
07/02/2015;317
08/02/2015;3
09/02/2015;630
10/02/2015;955
11/02/2015;1100
12/02/2015;1127
13/02/2015;1182
14/02/2015;353
15/02/2015;3
16/02/2015;701
17/02/2015;1063
18/02/2015;1221
19/02/2015;1253
20/02/2015;1311
21/02/2015;390
22/02/2015;4
23/02/2015;775
24/02/2015;1172
25/02/2015;1350
26/02/2015;1388
27/02/2015;1454
28/02/2015;433
01/03/2015;3
02/03/2015;550
03/03/2015;832
04/03/2015;956
05/03/2015;982
06/03/2015;1030
07/03/2015;306
08/03/2015;3
09/03/2015;609
10/03/2015;921
11/03/2015;1059
12/03/2015;1087
13/03/2015;1140
14/03/2015;338
15/03/2015;3
16/03/2015;673
17/03/2015;1018
18/03/2015;1173
19/03/2015;1208
20/03/2015;1268
21/03/2015;379
22/03/2015;3
23/03/2015;752
24/03/2015;1140
25/03/2015;1320
26/03/2015;1355
27/03/2015;1417
28/03/2015;422
29/03/2015;4
30/03/2015;839
31/03/2015;1269
01/04/2015;919
02/04/2015;945
03/04/2015;990
04/04/2015;295
05/04/2015;3
06/04/2015;586
07/04/2015;892
08/04/2015;1028
09/04/2015;1058
10/04/2015;1108
11/04/2015;330
12/04/2015;3
13/04/2015;655
14/04/2015;991
15/04/2015;1141
16/04/2015;1174
17/04/2015;1233
18/04/2015;367
19/04/2015;3
20/04/2015;730
21/04/2015;1107
22/04/2015;1277
23/04/2015;1310
24/04/2015;1374
25/04/2015;410
26/04/2015;4
27/04/2015;814
28/04/2015;1237
29/04/2015;1429
30/04/2015;1468
01/05/2015;918
02/05/2015;273
03/05/2015;3
04/05/2015;543
05/05/2015;823
06/05/2015;950
07/05/2015;977
08/05/2015;1023
09/05/2015;305
10/05/2015;3
11/05/2015;606
12/05/2015;917
13/05/2015;1056
14/05/2015;1086
15/05/2015;1136
16/05/2015;338
17/05/2015;3
18/05/2015;671
19/05/2015;1018
20/05/2015;1168
21/05/2015;1197
22/05/2015;1255
23/05/2015;374
24/05/2015;3
25/05/2015;742
26/05/2015;1125
27/05/2015;1293
28/05/2015;1327
29/05/2015;1390
30/05/2015;415
31/05/2015;4
01/06/2015;524
02/06/2015;793
03/06/2015;914
04/06/2015;938
05/06/2015;981
06/06/2015;291
07/06/2015;3
08/06/2015;579
09/06/2015;878
10/06/2015;1015
11/06/2015;1047
12/06/2015;1095
13/06/2015;326
14/06/2015;3
15/06/2015;648
16/06/2015;983
17/06/2015;1133
18/06/2015;1162
19/06/2015;1219
20/06/2015;363
21/06/2015;3
22/06/2015;721
23/06/2015;1093
24/06/2015;1258
25/06/2015;1291
26/06/2015;1353
27/06/2015;402
28/06/2015;4
29/06/2015;800
30/06/2015;1212
01/07/2015;909
02/07/2015;932
03/07/2015;976
04/07/2015;291
05/07/2015;3
06/07/2015;577
07/07/2015;874
08/07/2015;1005
09/07/2015;1032
10/07/2015;1083
11/07/2015;323
12/07/2015;3
13/07/2015;641
14/07/2015;970
15/07/2015;1118
16/07/2015;1147
17/07/2015;1199
18/07/2015;357
19/07/2015;3
20/07/2015;709
21/07/2015;1074
22/07/2015;1237
23/07/2015;1268
24/07/2015;1327
25/07/2015;394
26/07/2015;4
27/07/2015;783
28/07/2015;1186
29/07/2015;1367
30/07/2015;1404
31/07/2015;1469
01/08/2015;266
02/08/2015;2
03/08/2015;529
04/08/2015;800
05/08/2015;921
06/08/2015;944
07/08/2015;988
08/08/2015;294
09/08/2015;3
10/08/2015;585
11/08/2015;889
12/08/2015;1022
13/08/2015;1051
14/08/2015;1098
15/08/2015;327
16/08/2015;3
17/08/2015;649
18/08/2015;984
19/08/2015;1132
20/08/2015;1161
21/08/2015;1214
22/08/2015;360
23/08/2015;3
24/08/2015;716
25/08/2015;1077
26/08/2015;1242
27/08/2015;1272
28/08/2015;1337
29/08/2015;401
30/08/2015;4
31/08/2015;797
01/09/2015;809
02/09/2015;931
03/09/2015;954
04/09/2015;1000
05/09/2015;298
06/09/2015;3
07/09/2015;592
08/09/2015;898
09/09/2015;1033
10/09/2015;1064
11/09/2015;1116
12/09/2015;334
13/09/2015;3
14/09/2015;664
15/09/2015;1005
16/09/2015;1159
17/09/2015;1193
18/09/2015;1251
19/09/2015;373
20/09/2015;3
21/09/2015;740
22/09/2015;1120
23/09/2015;1285
24/09/2015;1317
25/09/2015;1376
26/09/2015;412
27/09/2015;4
28/09/2015;818
29/09/2015;1238
30/09/2015;1424
01/10/2015;868
02/10/2015;911
03/10/2015;272
04/10/2015;3
05/10/2015;540
06/10/2015;823
07/10/2015;952
08/10/2015;980
09/10/2015;1026
10/10/2015;306
11/10/2015;3
12/10/2015;609
13/10/2015;923
14/10/2015;1059
15/10/2015;1087
16/10/2015;1140
17/10/2015;340
18/10/2015;3
19/10/2015;676
20/10/2015;1022
21/10/2015;1177
22/10/2015;1206
23/10/2015;1266
24/10/2015;378
25/10/2015;3
26/10/2015;751
27/10/2015;1137
28/10/2015;1307
29/10/2015;1345
30/10/2015;1409
31/10/2015;421
01/11/2015;2
02/11/2015;540
03/11/2015;818
04/11/2015;947
05/11/2015;974
06/11/2015;1017
07/11/2015;302
08/11/2015;3
09/11/2015;600
10/11/2015;908
11/11/2015;1046
12/11/2015;1074
13/11/2015;1119
14/11/2015;332
15/11/2015;3
16/11/2015;659
17/11/2015;999
18/11/2015;1152
19/11/2015;1180
20/11/2015;1238
21/11/2015;370
22/11/2015;3
23/11/2015;735
24/11/2015;1111
25/11/2015;1281
26/11/2015;1314
27/11/2015;1376
28/11/2015;410
